name,address,postal_code,latitude,longitude
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central,389706,1.318207,103.88336
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705,1.318124,103.8829
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176,1.357339,103.948893
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains,828848,1.396421,103.912588
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866,1.396986,103.911718
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD,677744,1.385851,103.767546
GREENRIDGE SECONDARY SCHOOL,32 BUKIT PANJANG RING ROAD,679938,1.38206,103.773836
GREENVIEW SECONDARY SCHOOL,15 PASIR RIS STREET 21,518969,1.369233,103.962377
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,1.43985,103.804609
GUANGYANG PRIMARY SCHOOL,6 Bishan Street 12,579806,1.346017,103.849681
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12,579807,1.344693,103.850566
HAI SING CATHOLIC SCHOOL,9 PASIR RIS DRIVE 6,519421,1.374513,103.954463
HAIG GIRLS' SCHOOL,860 NEW UPPER CHANGI ROAD,467353,1.32368,103.938907
HENDERSON SECONDARY SCHOOL,100 HENDERSON RD,159544,1.285033,103.819595
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,1.316871,103.784132
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52,659250,1.352752,103.753048
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,1.371204,103.896018
HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON Holy Innocents' Primary School,536451,1.366573,103.893711
HONG KAH SECONDARY SCHOOL,931 JURONG WEST STREET 42,649370,1.351759,103.726968
HONG WEN SCHOOL,30 TOWNER ROAD,327829,1.321704,103.857647
HORIZON PRIMARY SCHOOL,61 Edgedale Plains,828819,1.400025,103.913058
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,1.37734,103.881046
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93,534256,1.377661,103.88253
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371,1.351473,103.72158
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857,1.426943,103.843853
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,1.324644,103.8059
INNOVA JUNIOR COLLEGE,21 Champions Way,737902,1.429201,103.788334
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17,737888,1.428957,103.790631
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,1.427671,103.830498
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,1.371479,103.851863
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91,528906,1.347973,103.940012
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,1.353327,103.933573
JURONG JUNIOR COLLEGE,800 CORPORATION ROAD,649809,1.350886,103.713267
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32,609476,1.348679,103.732992
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,1.330365,103.724282
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,1.339037,103.698854
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,1.335276,103.702086
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,1.351493,103.729161
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,1.33837,103.688061
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,1.338205,103.687205
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,1.344781,103.756511
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,1.301511,103.765385
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,1.337666,103.847796
KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,1.311292,103.888386
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,1.393694,103.747785
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51,689333,1.390468,103.741661
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,1.349116,103.854727
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13,579795,1.350135,103.854907
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk,618310,1.338216,103.717603
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,1.354143,103.754202
LOYANG PRIMARY SCHOOL,3 PASIR RIS DRIVE 6,519419,1.370648,103.955936
LOYANG SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,1.366972,103.956826
MACPHERSON PRIMARY SCHOOL,2 MATTAR ROAD,387724,1.324557,103.881618
MACPHERSON SECONDARY SCHOOL,121 CIRCUIT ROAD,379499,1.327133,103.888668
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,1.329011,103.901381
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1,408940,1.327215,103.901803
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,1.341737,103.878284
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,1.433827,103.773663
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,1.436669,103.775995
MARYMOUNT CONVENT SCHOOL,430 Lorong 1 Toa Payoh,319759,1.340196,103.843209
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,1.376395,103.843181
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384,1.368331,103.835438
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,1.394828,103.90904
MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71,518799,1.376067,103.937002
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,1.375781,103.935197
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986,1.332954,103.782566
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,1.332954,103.782566
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965,1.350343,103.741592
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,1.373864,103.889614
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,1.373518,103.888992
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,1.388713,103.890283
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,1.391841,103.890834
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,1.30807,103.769189
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806,1.319799,103.761213
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,1.330651,103.802221
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,1.350297,103.866494
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,1.320943,103.808147
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,1.329973,103.804488
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,1.416055,103.839091
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,1.41924,103.831032
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812,1.299825,103.799953
